"id","outline_name","investigator_id","site_id","Site","country","long","lat","Period","length","width","thickness","weight","reference"
"104/102:1002","104-102;1002_trollesgave","104-102;1002","trollesgave","Trollesgave","DK",11.81,55.27,"Allerød/GI-1a-c ",82.5,44.9,,50.19,
"104/105:1085","104-105;1085_trollesgave","104-105;1085","trollesgave","Trollesgave","DK",11.81,55.27,"Allerød/GI-1a-c ",80.9,45.4,,45.48,
"104/112:1001","104-112;1001_trollesgave","104-112;1001","trollesgave","Trollesgave","DK",11.81,55.27,"Allerød/GI-1a-c ",58.1,27.1,,8.75,
"105/96:1001","105-96;1001_trollesgave","105-96;1001","trollesgave","Trollesgave","DK",11.81,55.27,"Allerød/GI-1a-c ",40.4,23.7,,8.62,
"105/98:1024","105-98;1024_trollesgave","105-98;1024","trollesgave","Trollesgave","DK",11.81,55.27,"Allerød/GI-1a-c ",109.3,39,,54.58,
"107/99:1000","107-99;1000_trollesgave","107-99;1000","trollesgave","Trollesgave","DK",11.81,55.27,"Allerød/GI-1a-c ",72.2,39.1,,25.9,
"115/90:2000","115-90;2000_trollesgave","115-90;2000","trollesgave","Trollesgave","DK",11.81,55.27,"Allerød/GI-1a-c ",76.1,36.2,,36.34,
"116/101:2032","116-101;2032_trollesgave","116-101;2032","trollesgave","Trollesgave","DK",11.81,55.27,"Allerød/GI-1a-c ",114,49.4,,94.24,
"90/120:2000","90-120;2000_trollesgave","90-120;2000","trollesgave","Trollesgave","DK",11.81,55.27,"Allerød/GI-1a-c ",43.5,30.3,,19.06,
"94/103:1000","94-103;1000_trollesgave","94-103;1000","trollesgave","Trollesgave","DK",11.81,55.27,"Allerød/GI-1a-c ",73.8,29.2,,25.48,
"98/102:1004","98-102;1004_trollesgave","98-102;1004","trollesgave","Trollesgave","DK",11.81,55.27,"Allerød/GI-1a-c ",60.7,24.9,,13.41,
"99/125:2017","99-125;2017_trollesgave","99-125;2017","trollesgave","Trollesgave","DK",11.81,55.27,"Allerød/GI-1a-c ",98.8,29.9,,32.08,
"43_1","Trollesgave_Fischer_1990_blades_1","43_1","trollesgave","Trollesgave","DK",11.81,55.27,"Allerød/GI-1a-c ",77.8,27.9,5.3,,"Fischer 1990"
"43_2","Trollesgave_Fischer_1990_blades_2","43_2","trollesgave","Trollesgave","DK",11.81,55.27,"Allerød/GI-1a-c ",44,11.3,3.9,,"Fischer 1990"
"43_3","Trollesgave_Fischer_1990_blades_3","43_3","trollesgave","Trollesgave","DK",11.81,55.27,"Allerød/GI-1a-c ",70.5,21.3,9.3,,"Fischer 1990"
"43_4","Trollesgave_Fischer_1990_blades_4","43_4","trollesgave","Trollesgave","DK",11.81,55.27,"Allerød/GI-1a-c ",96.4,21.3,5.9,,"Fischer 1990"
"43_5","Trollesgave_Fischer_1990_blades_5","43_5","trollesgave","Trollesgave","DK",11.81,55.27,"Allerød/GI-1a-c ",105.7,23.3,6.7,,"Fischer 1990"
"43_6","Trollesgave_Fischer_1990_blades_6","43_6","trollesgave","Trollesgave","DK",11.81,55.27,"Allerød/GI-1a-c ",121.3,34.6,10.6,,"Fischer 1990"
"43_7","Trollesgave_Fischer_1990_blades_7","43_7","trollesgave","Trollesgave","DK",11.81,55.27,"Allerød/GI-1a-c ",96.8,26.6,10.6,,"Fischer 1990"
,"Jels_99_1-6_Madsen_1992_blokke-og-flækker_61_8",,"jels","Jels 2","DK","9.240096","55.375035","Bølling/GI-1e ",,,,,"Madsen 1992"
,"Jels_99_1-6_Madsen_1992_blokke-og-flækker_61_7",,"jels","Jels 2","DK","9.240096","55.375035","Bølling/GI-1e ",,,,,"Madsen 1992"
"99_6","Jels_99_1-6_Madsen_1992_blokke-og-flækker_61_6",,"jels","Jels 2","DK","9.240096","55.375035","Bølling/GI-1e ",90,25.5,5.3,,"Madsen 1992"
"99_5","Jels_99_1-6_Madsen_1992_blokke-og-flækker_61_5",,"jels","Jels 2","DK","9.240096","55.375035","Bølling/GI-1e ",105,21,8.3,,"Madsen 1992"
"99_4","Jels_99_1-6_Madsen_1992_blokke-og-flækker_61_4",,"jels","Jels 2","DK","9.240096","55.375035","Bølling/GI-1e ",87,15,4.5,,"Madsen 1992"
"99_3","Jels_99_1-6_Madsen_1992_blokke-og-flækker_61_3",,"jels","Jels 2","DK","9.240096","55.375035","Bølling/GI-1e ",78,10.5,4.5,,"Madsen 1992"
